aspect	n.	方面	key aspect
assess	v.	评估	assess risk
assessment	n.	评估	risk assessment
assign	v.	分配	assign a task
assignment	n.	作业	homework assignment
assist	v.	帮助	assist sb.
assistance	n.	帮助	financial assistance
assistant	n.	助手	personal assistant
associate	v.	联系	associate with
association	n.	协会	alumni association
assume	v.	假设	assume that
assumption	n.	假设	basic assumption
assure	v.	保证	assure sb. that
athlete	n.	运动员	professional athlete
atmosphere	n.	氛围/大气	pleasant atmosphere
attach	v.	附加	attach importance to
attack	n./v.	攻击	under attack
attempt	n./v.	尝试	make an attempt
attend	v.	参加	attend a meeting
attention	n.	注意	pay attention to
attitude	n.	态度	positive attitude
attract	v.	吸引	attract attention
attraction	n.	吸引力	tourist attraction
attractive	adj.	有吸引力的	attractive offer
audience	n.	观众	large audience
author	n.	作者	famous author
authority	n.	权威	local authority
automatic	adj.	自动的	automatic system
available	adj.	可获得的	be available
average	n./adj.	平均	on average
avoid	v.	避免	avoid mistakes
award	n./v.	奖	win an award
aware	adj.	意识到的	be aware of
away	adv.	离开	far away
awful	adj.	糟糕的	awful weather
baby	n.	婴儿	baby boy
back	n./adv.	背部/回	come back
background	n.	背景	cultural background
backward	adj.	向后的	backward step
bacteria	n.	细菌	harmful bacteria
bad	adj.	坏的	bad habit
badly	adv.	严重地	badly hurt
bag	n.	袋子	shopping bag
balance	n./v.	平衡	keep balance
ball	n.	球	play ball
ban	v./n.	禁止	ban smoking
band	n.	乐队/带子	rock band
bank	n.	银行	open a bank account
bar	n.	酒吧/条	progress bar
bare	adj.	赤裸的	bare feet
bargain	n./v.	便宜货/讨价还价	good bargain
barrier	n.	障碍	language barrier
base	n./v.	基础/基于	base on
basic	adj.	基本的	basic skills
basis	n.	基础	on the basis of
battle	n./v.	战斗	battle against
be	v.	是	be happy
bear	v./n.	忍受/熊	bear the pain
beat	v./n.	打败/节拍	beat the record
beautiful	adj.	美丽的	beautiful view
beauty	n.	美丽	natural beauty
because	conj.	因为	because of
become	v.	成为	become a teacher
bed	n.	床	go to bed
bedroom	n.	卧室	clean the bedroom
before	prep.	在…之前	before class
begin	v.	开始	begin to learn
behalf	n.	代表	on behalf of
behave	v.	表现	behave well
behavior	n.	行为	good behavior
behind	prep.	在…后面	behind the door
being	n.	存在	human being
belief	n.	信念	strong belief
believe	v.	相信	believe in
bell	n.	铃	ring the bell
belong	v.	属于	belong to
below	prep.	在…下面	below zero
belt	n.	腰带	seat belt
bench	n.	长凳	park bench
bend	v./n.	弯曲	bend down
benefit	n./v.	利益/受益	benefit from
beside	prep.	在…旁边	beside the river
besides	prep./adv.	除…之外还	besides English
best	adj./adv.	最好的	do one's best
bet	v./n.	打赌	bet on
better	adj./adv.	更好的	get better
between	prep.	在…之间	between us
beyond	prep.	超出	beyond control
bicycle	n.	自行车	ride a bicycle
bid	n./v.	投标/出价	bid for
big	adj.	大的	big city
bill	n.	账单/法案	pay the bill
billion	n.	十亿	two billion
bind	v.	绑/约束	bind together
biology	n.	生物学	study biology
bird	n.	鸟	wild bird
birth	n.	出生	date of birth
birthday	n.	生日	happy birthday
bit	n.	一点	a bit tired
bite	v./n.	咬	bite the apple
bitter	adj.	苦的/痛苦的	bitter experience
black	adj.	黑色的	black coffee
blame	v./n.	责备	blame sb. for
blank	adj.	空白的	blank page
blind	adj.	盲的	go blind
block	n./v.	块/阻塞	block the road
blood	n.	血	blood type
blow	v./n.	吹/打击	blow the wind
blue	adj.	蓝色的	blue sky
board	n.	板/董事会	on board
boat	n.	船	by boat
body	n.	身体	human body
boil	v.	沸腾	boil water
bold	adj.	大胆的	bold decision
bomb	n.	炸弹	time bomb
bond	n.	纽带/债券	strong bond
bone	n.	骨头	broken bone
book	n.	书	read a book
boom	n./v.	繁荣/轰鸣	economic boom
boot	n.	靴子	leather boot
border	n.	边界	cross the border
bore	v.	使厌烦	bore sb.
born	v.	出生	be born in
borrow	v.	借入	borrow money
boss	n.	老板	my boss
both	pron.	两者都	both of us
bother	v.	打扰	don't bother
bottle	n.	瓶子	water bottle
bottom	n.	底部	at the bottom
bound	adj.	一定的/be bound to	bound
boundary	n.	边界	national boundary
bow	v./n.	鞠躬	bow to
bowl	n.	碗	a bowl of rice
box	n.	盒子	gift box
boy	n.	男孩	little boy
brain	n.	大脑	use your brain
branch	n.	分支/树枝	bank branch
brand	n.	品牌	famous brand
brave	adj.	勇敢的	brave soldier
bread	n.	面包	a loaf of bread
break	v./n.	打破/休息	break the rule
breakfast	n.	早餐	have breakfast
breath	n.	呼吸	out of breath
breathe	v.	呼吸	breathe deeply
breed	v./n.	繁殖/品种	breed animals
bridge	n.	桥	cross the bridge
brief	adj.	简短的	brief introduction
bright	adj.	明亮的/聪明的	bright future
brilliant	adj.	杰出的	brilliant idea
bring	v.	带来	bring about change
broad	adj.	宽的/广泛的	broad mind
broadcast	v./n.	广播	live broadcast
brother	n.	兄弟	elder brother
brown	adj.	棕色的	brown hair
brush	n./v.	刷子/刷	brush teeth
budget	n.	预算	within budget
build	v.	建造	build a house
building	n.	建筑物	office building
bunch	n.	一束/群	a bunch of
burden	n.	负担	heavy burden
burn	v./n.	燃烧/烧伤	burn down
burst	v./n.	爆发	burst into tears
bus	n.	公交车	by bus
business	n.	商业/生意	do business
busy	adj.	忙碌的	be busy with
but	conj.	但是	small but strong
butter	n.	黄油	bread and butter
button	n.	按钮	press the button
buy	v.	买	buy a book
by	prep.	被/通过	by bus
cable	n.	电缆	cable TV
cafe	n.	咖啡馆	local cafe
cage	n.	笼子	bird cage
cake	n.	蛋糕	birthday cake
calculate	v.	计算	calculate the cost
call	v./n.	叫/电话	call sb.
calm	adj./v.	平静的/使平静	keep calm
camera	n.	相机	digital camera
camp	n./v.	营地/露营	summer camp
campaign	n./v.	运动/战役	election campaign
campus	n.	校园	on campus
can	v./n.	能/罐头	can swim
cancel	v.	取消	cancel the meeting
cancer	n.	癌症	fight cancer
candidate	n.	候选人	job candidate
cap	n.	帽子/盖子	bottle cap
capable	adj.	有能力的	be capable of
capacity	n.	容量/能力	full capacity
capital	n.	首都/资本	capital city
captain	n.	队长/船长	team captain
capture	v./n.	捕获	capture attention
car	n.	汽车	by car
card	n.	卡片	credit card
care	n./v.	关心/照顾	take care of
career	n.	职业	career plan
careful	adj.	小心的	be careful
careless	adj.	粗心的	careless mistake
carry	v.	携带	carry out
case	n.	情况/箱子	in case of
cash	n.	现金	pay in cash
cast	v./n.	投掷/演员	cast doubt
cat	n.	猫	pet cat
catch	v.	抓住/赶上	catch a cold
category	n.	类别	product category
cause	n./v.	原因/引起	cause trouble
caution	n.	谨慎	with caution
cautious	adj.	谨慎的	be cautious
cave	n.	洞穴	deep cave
cease	v.	停止	cease fire
celebrate	v.	庆祝	celebrate birthday
celebration	n.	庆祝	birthday celebration
cell	n.	细胞/牢房	prison cell
cent	n.	分	fifty cents
center	n.	中心	city center
central	adj.	中央的	central government
century	n.	世纪	21st century
ceremony	n.	仪式	opening ceremony
certain	adj.	确定的	be certain of
certainly	adv.	当然	certainly not
certificate	n.	证书	graduation certificate
chain	n.	链条/连锁	food chain
chair	n.	椅子	sit on a chair
chairman	n.	主席	board chairman
challenge	n./v.	挑战	face a challenge
chamber	n.	房间/议院	chamber of commerce
chance	n.	机会	by chance
change	v./n.	改变/零钱	change the plan
channel	n.	频道/渠道	TV channel
chapter	n.	章节	chapter one
character	n.	性格/角色	main character
charge	n./v.	费用/指控	in charge of
charity	n.	慈善	give to charity
charm	n./v.	魅力	personal charm
chart	n.	图表	bar chart
chase	v./n.	追逐	chase after
cheap	adj.	便宜的	cheap price
cheat	v./n.	欺骗	cheat in exam
check	v./n.	检查/支票	check the answer
cheek	n.	脸颊	rosy cheek
cheer	v./n.	欢呼	cheer up
cheese	n.	奶酪	a piece of cheese
chemical	adj./n.	化学的/化学品	chemical reaction
chemistry	n.	化学	study chemistry
cheque	n.	支票	write a cheque
chest	n.	胸部/箱子	treasure chest
chicken	n.	鸡/鸡肉	fried chicken
chief	adj./n.	主要的/首领	chief reason
child	n.	孩子	only child
childhood	n.	童年	happy childhood
choice	n.	选择	make a choice
choose	v.	选择	choose the best
church	n.	教堂	go to church
cigarette	n.	香烟	smoke cigarettes
cinema	n.	电影院	go to cinema
circle	n./v.	圆/环绕	full circle
circuit	n.	电路/巡回	circuit board
circumstance	n.	情况	under the circumstances
cite	v.	引用	cite an example
citizen	n.	公民	law-abiding citizen
city	n.	城市	big city
civil	adj.	公民的/民事的	civil rights
claim	v./n.	声称/要求	claim that
class	n.	班级/阶级	in class
classic	adj./n.	经典的	classic novel
classify	v.	分类	classify data
classroom	n.	教室	clean the classroom
clause	n.	从句/条款	relative clause
clean	adj./v.	干净的/打扫	keep clean
clear	adj./v.	清楚的/清除	make clear
clerk	n.	职员	office clerk
clever	adj.	聪明的	clever student
click	v./n.	点击	click the button
client	n.	客户	important client
climate	n.	气候	climate change
climb	v./n.	爬	climb the mountain
clock	n.	时钟	alarm clock
close	v./adj.	关闭/近的	close the door
cloth	n.	布	a piece of cloth
clothes	n.	衣服	new clothes
cloud	n.	云	dark cloud
club	n.	俱乐部	join a club
clue	n.	线索	give a clue
coach	n./v.	教练/辅导	football coach
coal	n.	煤	burn coal
coast	n.	海岸	east coast
coat	n.	外套	wear a coat
code	n.	代码/准则	dress code
coffee	n.	咖啡	a cup of coffee
coin	n.	硬币	gold coin
cold	adj./n.	冷的/感冒	catch a cold
collapse	v./n.	倒塌/崩溃	collapse suddenly
colleague	n.	同事	close colleague
collect	v.	收集	collect data
collection	n.	收集/收藏品	art collection
college	n.	大学/学院	go to college
color	n.	颜色	bright color
column	n.	柱/栏	newspaper column
combine	v.	结合	combine with
come	v.	来	come here
comfort	n./v.	舒适/安慰	live in comfort
comfortable	adj.	舒适的	comfortable seat
command	n./v.	命令/指挥	under command
comment	n./v.	评论	make a comment
commerce	n.	商业	domestic commerce
commercial	adj.	商业的	commercial use
commission	n.	委员会/佣金	sales commission
commit	v.	犯/承诺	commit a crime
commitment	n.	承诺	make a commitment
committee	n.	委员会	organizing committee
common	adj.	常见的	common sense
communicate	v.	交流	communicate with
communication	n.	交流	mass communication
community	n.	社区	local community
company	n.	公司/陪伴	keep company
compare	v.	比较	compare with
comparison	n.	比较	by comparison
compete	v.	竞争	compete with
competition	n.	竞争	fierce competition
competitive	adj.	竞争的	competitive price
complain	v.	抱怨	complain about
complaint	n.	投诉	make a complaint
complete	adj./v.	完整的/完成	complete the task
complex	adj.	复杂的	complex problem
complicate	v.	使复杂	complicate matters
component	n.	组成部分	key component
compose	v.	组成/创作	be composed of
composition	n.	作文/组成	writing composition
compound	n./adj.	化合物/复合的	chemical compound
comprehension	n.	理解	reading comprehension
comprehensive	adj.	全面的	comprehensive plan
comprise	v.	包含	comprise three parts
compromise	n./v.	妥协	reach a compromise
compute	v.	计算	compute the result
computer	n.	计算机	personal computer
conceal	v.	隐藏	conceal the truth
concentrate	v.	集中	concentrate on
concept	n.	概念	basic concept
concern	n./v.	关心/涉及	concern about
concerning	prep.	关于	concerning this matter
concert	n.	音乐会	go to a concert
conclude	v.	结论/结束	conclude that
conclusion	n.	结论	draw a conclusion
concrete	adj./n.	具体的/混凝土	concrete example
condition	n.	条件/状况	in good condition
conduct	v./n.	Conduct/行为	conduct research
conference	n.	会议	hold a conference
confidence	n.	信心	gain confidence
confident	adj.	自信的	be confident of
confirm	v.	确认	confirm the booking
conflict	n./v.	冲突	conflict with
confuse	v.	使困惑	confuse A with B
confusion	n.	困惑	cause confusion
congratulate	v.	祝贺	congratulate sb. on
connect	v.	连接	connect to
connection	n.	连接	internet connection
conscience	n.	良心	guilty conscience
conscious	adj.	意识到的	be conscious of
consciousness	n.	意识	lose consciousness
consensus	n.	共识	reach consensus
consent	n./v.	同意	give consent
consequence	n.	后果	as a consequence
consequently	adv.	因此	consequently failed
conservation	n.	保护	wildlife conservation
conservative	adj.	保守的	conservative view
consider	v.	考虑	consider doing
considerable	adj.	相当大的	considerable amount
considerate	adj.	体贴的	considerate person
consideration	n.	考虑	take into consideration
consist	v.	组成	consist of
consistent	adj.	一致的	be consistent with
constant	adj.	持续的	constant change
constitute	v.	构成	constitute a threat
constitution	n.	宪法	national constitution
construct	v.	建造	construct a bridge
construction	n.	建设	under construction
consult	v.	咨询	consult a doctor
consume	v.	消费/消耗	consume energy
consumer	n.	消费者	consumer rights
consumption	n.	消费	energy consumption
contact	n./v.	联系	keep in contact
contain	v.	包含	contain sugar
container	n.	容器	food container
contemporary	adj.	当代的	contemporary art
content	n./adj.	内容/满足的	table of content
contest	n./v.	比赛/ contest	speech contest
context	n.	上下文	in context
continent	n.	大陆	Asian continent
continue	v.	继续	continue to do
continuous	adj.	连续的	continuous rain
contract	n./v.	合同/收缩	sign a contract
contradict	v.	矛盾	contradict oneself
contrary	adj./n.	相反的	on the contrary
contrast	n./v.	对比	in contrast to
contribute	v.	贡献	contribute to
contribution	n.	贡献	make a contribution
control	n./v.	控制	under control
controversial	adj.	有争议的	controversial issue
convenience	n.	便利	for convenience
convenient	adj.	便利的	convenient time
convention	n.	惯例/大会	social convention
conventional	adj.	传统的	conventional method
conversation	n.	对话	have a conversation
convert	v.	转换	convert to
convey	v.	传达	convey a message
convince	v.	说服	convince sb. of
cook	v./n.	烹饪/厨师	cook dinner
cool	adj./v.	凉爽的/冷却	cool down
cooperate	v.	合作	cooperate with
cooperation	n.	合作	international cooperation
cope	v.	应对	cope with
copy	n./v.	副本/复制	make a copy
core	n./adj.	核心	core value
corn	n.	玉米	sweet corn
corner	n.	角落	around the corner
corporate	adj.	公司的	corporate culture
correct	adj./v.	正确的/纠正	correct answer
correspond	v.	对应/通信	correspond to
correspondence	n.	通信	business correspondence
cost	n./v.	成本/花费	at all costs
costly	adj.	昂贵的	costly mistake
cottage	n.	小屋	country cottage
cotton	n.	棉花	cotton cloth
could	v.	能够/可以	could you help
council	n.	委员会	city council
count	v./n.	数/计数	count on
counter	n./v.	柜台/反驳	ticket counter
country	n.	国家/乡村	foreign country
countryside	n.	乡村	in the countryside
county	n.	县	county government
couple	n.	一对/夫妇	a couple of
courage	n.	勇气	show courage
course	n.	课程/过程	of course
court	n.	法庭/球场	go to court
cousin	n.	表亲	my cousin
cover	v./n.	覆盖/封面	cover the cost
cow	n.	牛	milk cow
crack	n./v.	裂缝/ cracking	crack the code
craft	n.	工艺/手艺	traditional craft
crash	n./v.	碰撞/崩溃	car crash
crazy	adj.	疯狂的	go crazy
create	v.	创造	create jobs
creation	n.	创造	art creation
creative	adj.	创造性的	creative idea
creature	n.	生物	living creature
credit	n.	信用/学分	credit card
crew	n.	全体船员	flight crew
crime	n.	犯罪	commit a crime
criminal	n./adj.	罪犯/犯罪的	criminal act
crisis	n.	危机	economic crisis
criterion	n.	标准	meet the criterion
critic	n.	批评家	film critic
critical	adj.	关键的/批评的	critical moment
criticism	n.	批评	face criticism
criticize	v.	批评	criticize sb. for
crop	n.	作物	rice crop
cross	n./v.	十字/穿过	cross the road
crowd	n.	人群	large crowd
crown	n.	王冠	crown prince
crucial	adj.	关键的	crucial role
crude	adj.	粗糙的/ crude oil	crude oil
cruel	adj.	残忍的	cruel behavior
cry	v./n.	哭/叫喊	cry out
culture	n.	文化	traditional culture
cup	n.	杯子	a cup of tea
cure	v./n.	治愈	find a cure
curious	adj.	好奇的	be curious about
curl	v./n.	卷曲	curl up
currency	n.	货币	foreign currency
current	adj./n.	当前的/电流	current situation
curriculum	n.	课程	school curriculum
curtain	n.	窗帘	draw the curtain
curve	n./v.	曲线/弯曲	learning curve
custom	n.	习俗/海关	local custom
customer	n.	顾客	regular customer
cut	v./n.	切/伤口	cut down
cycle	n./v.	循环/骑车	life cycle
awake	v.	awake（动词）	awake regularly
beg	v.	beg（动词）	beg regularly
bleed	v.	bleed（动词）	bleed regularly
blend	v.	blend（动词）	blend regularly
bless	v.	bless（动词）	bless regularly
bloom	v.	bloom（动词）	bloom regularly
boast	v.	boast（动词）	boast regularly
boost	v.	boost（动词）	boost regularly
bounce	v.	bounce（动词）	bounce regularly
carve	v.	carve（动词）	carve regularly
chat	v.	chat（动词）	chat regularly
clap	v.	clap（动词）	clap regularly
clarify	v.	clarify（动词）	clarify regularly
crush	v.	crush（动词）	crush regularly
damage	v.	damage（动词）	damage regularly
dance	v.	dance（动词）	dance regularly
dare	v.	dare（动词）	dare regularly
deal	v.	deal（动词）	deal regularly
debate	v.	debate（动词）	debate regularly
decide	v.	decide（动词）	decide regularly
declare	v.	declare（动词）	declare regularly
decline	v.	decline（动词）	decline regularly
decorate	v.	decorate（动词）	decorate regularly
decrease	v.	decrease（动词）	decrease regularly
deduce	v.	deduce（动词）	deduce regularly
deem	v.	deem（动词）	deem regularly
deepen	v.	deepen（动词）	deepen regularly
defeat	v.	defeat（动词）	defeat regularly
defend	v.	defend（动词）	defend regularly
define	v.	define（动词）	define regularly
delay	v.	delay（动词）	delay regularly
deliver	v.	deliver（动词）	deliver regularly
demand	v.	demand（动词）	demand regularly
demonstrate	v.	demonstrate（动词）	demonstrate regularly
deny	v.	deny（动词）	deny regularly
depend	v.	depend（动词）	depend regularly
depress	v.	depress（动词）	depress regularly
derive	v.	derive（动词）	derive regularly
describe	v.	describe（动词）	describe regularly
desert	v.	desert（动词）	desert regularly
deserve	v.	deserve（动词）	deserve regularly
design	v.	design（动词）	design regularly
desire	v.	desire（动词）	desire regularly
destroy	v.	destroy（动词）	destroy regularly
detail	v.	detail（动词）	detail regularly
detect	v.	detect（动词）	detect regularly
determine	v.	determine（动词）	determine regularly
develop	v.	develop（动词）	develop regularly
devote	v.	devote（动词）	devote regularly
die	v.	die（动词）	die regularly
differ	v.	differ（动词）	differ regularly
dig	v.	dig（动词）	dig regularly
diminish	v.	diminish（动词）	diminish regularly
direct	v.	direct（动词）	direct regularly
disappear	v.	disappear（动词）	disappear regularly
discipline	v.	discipline（动词）	discipline regularly
discover	v.	discover（动词）	discover regularly
discuss	v.	discuss（动词）	discuss regularly
dislike	v.	dislike（动词）	dislike regularly
dismiss	v.	dismiss（动词）	dismiss regularly
display	v.	display（动词）	display regularly
dispose	v.	dispose（动词）	dispose regularly
dispute	v.	dispute（动词）	dispute regularly
dissolve	v.	dissolve（动词）	dissolve regularly
distinguish	v.	distinguish（动词）	distinguish regularly
distribute	v.	distribute（动词）	distribute regularly
disturb	v.	disturb（动词）	disturb regularly
divide	v.	divide（动词）	divide regularly
do	v.	do（动词）	do regularly
dominate	v.	dominate（动词）	dominate regularly
donate	v.	donate（动词）	donate regularly
doubt	v.	doubt（动词）	doubt regularly
draft	v.	draft（动词）	draft regularly
drag	v.	drag（动词）	drag regularly
drain	v.	drain（动词）	drain regularly
draw	v.	draw（动词）	draw regularly
dream	v.	dream（动词）	dream regularly
dress	v.	dress（动词）	dress regularly
drift	v.	drift（动词）	drift regularly
drink	v.	drink（动词）	drink regularly
drive	v.	drive（动词）	drive regularly
drop	v.	drop（动词）	drop regularly
drown	v.	drown（动词）	drown regularly
dry	v.	dry（动词）	dry regularly
dump	v.	dump（动词）	dump regularly
dwell	v.	dwell（动词）	dwell regularly
earn	v.	earn（动词）	earn regularly
ease	v.	ease（动词）	ease regularly
eat	v.	eat（动词）	eat regularly
edit	v.	edit（动词）	edit regularly
educate	v.	educate（动词）	educate regularly
elect	v.	elect（动词）	elect regularly
eliminate	v.	eliminate（动词）	eliminate regularly
embarrass	v.	embarrass（动词）	embarrass regularly
emerge	v.	emerge（动词）	emerge regularly
emit	v.	emit（动词）	emit regularly
employ	v.	employ（动词）	employ regularly
enable	v.	enable（动词）	enable regularly
encounter	v.	encounter（动词）	encounter regularly
encourage	v.	encourage（动词）	encourage regularly
end	v.	end（动词）	end regularly
endure	v.	endure（动词）	endure regularly
enforce	v.	enforce（动词）	enforce regularly
engage	v.	engage（动词）	engage regularly
enhance	v.	enhance（动词）	enhance regularly
enjoy	v.	enjoy（动词）	enjoy regularly
enlarge	v.	enlarge（动词）	enlarge regularly
enroll	v.	enroll（动词）	enroll regularly
ensure	v.	ensure（动词）	ensure regularly
enter	v.	enter（动词）	enter regularly
entertain	v.	entertain（动词）	entertain regularly
entitle	v.	entitle（动词）	entitle regularly
envy	v.	envy（动词）	envy regularly
equal	v.	equal（动词）	equal regularly
equip	v.	equip（动词）	equip regularly
escape	v.	escape（动词）	escape regularly
establish	v.	establish（动词）	establish regularly
estimate	v.	estimate（动词）	estimate regularly
evaluate	v.	evaluate（动词）	evaluate regularly
evolve	v.	evolve（动词）	evolve regularly
examine	v.	examine（动词）	examine regularly
exceed	v.	exceed（动词）	exceed regularly
exchange	v.	exchange（动词）	exchange regularly
excite	v.	excite（动词）	excite regularly
excuse	v.	excuse（动词）	excuse regularly
execute	v.	execute（动词）	execute regularly
exercise	v.	exercise（动词）	exercise regularly
exhibit	v.	exhibit（动词）	exhibit regularly
exist	v.	exist（动词）	exist regularly
expand	v.	expand（动词）	expand regularly
expect	v.	expect（动词）	expect regularly
expense	v.	expense（动词）	expense regularly
experience	v.	experience（动词）	experience regularly
experiment	v.	experiment（动词）	experiment regularly
explain	v.	explain（动词）	explain regularly
explode	v.	explode（动词）	explode regularly
explore	v.	explore（动词）	explore regularly
export	v.	export（动词）	export regularly
expose	v.	expose（动词）	expose regularly
express	v.	express（动词）	express regularly
extend	v.	extend（动词）	extend regularly
face	v.	face（动词）	face regularly
facilitate	v.	facilitate（动词）	facilitate regularly
fade	v.	fade（动词）	fade regularly
fail	v.	fail（动词）	fail regularly
fall	v.	fall（动词）	fall regularly
familiarize	v.	familiarize（动词）	familiarize regularly
fan	v.	fan（动词）	fan regularly
fancy	v.	fancy（动词）	fancy regularly
fare	v.	fare（动词）	fare regularly
farm	v.	farm（动词）	farm regularly
fasten	v.	fasten（动词）	fasten regularly
favor	v.	favor（动词）	favor regularly
fear	v.	fear（动词）	fear regularly
feed	v.	feed（动词）	feed regularly
feel	v.	feel（动词）	feel regularly
fetch	v.	fetch（动词）	fetch regularly
fight	v.	fight（动词）	fight regularly
figure	v.	figure（动词）	figure regularly
file	v.	file（动词）	file regularly
fill	v.	fill（动词）	fill regularly
film	v.	film（动词）	film regularly
filter	v.	filter（动词）	filter regularly
finance	v.	finance（动词）	finance regularly
find	v.	find（动词）	find regularly
fine	v.	fine（动词）	fine regularly
finish	v.	finish（动词）	finish regularly
fire	v.	fire（动词）	fire regularly
fit	v.	fit（动词）	fit regularly
fix	v.	fix（动词）	fix regularly
flash	v.	flash（动词）	flash regularly
flatten	v.	flatten（动词）	flatten regularly
flee	v.	flee（动词）	flee regularly
float	v.	float（动词）	float regularly
flood	v.	flood（动词）	flood regularly
flow	v.	flow（动词）	flow regularly
fly	v.	fly（动词）	fly regularly
focus	v.	focus（动词）	focus regularly
fold	v.	fold（动词）	fold regularly
follow	v.	follow（动词）	follow regularly
force	v.	force（动词）	force regularly
forecast	v.	forecast（动词）	forecast regularly
forget	v.	forget（动词）	forget regularly
forgive	v.	forgive（动词）	forgive regularly
form	v.	form（动词）	form regularly
format	v.	format（动词）	format regularly
formulate	v.	formulate（动词）	formulate regularly
found	v.	found（动词）	found regularly
